time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,city,timestamp
2025-07-19T00:00,0.9322916666666666,1.0,0.1258741258741259,0.23426573426573422,0.45535714285714285,0.39024390243902446,Chennai,20250719T104008Z
2025-07-19T01:00,0.6614583333333334,0.6850393700787402,0.11655011655011654,0.2762237762237762,0.30357142857142855,0.3495934959349594,Chennai,20250719T104008Z
2025-07-19T02:00,0.4739583333333333,0.48031496062992124,0.10955710955710955,0.30769230769230765,0.17857142857142858,0.30081300813008144,Chennai,20250719T104008Z
2025-07-19T03:00,0.3489583333333333,0.35433070866141736,0.06993006993006994,0.3111888111888112,0.11607142857142858,0.25203252032520324,Chennai,20250719T104008Z
2025-07-19T04:00,0.27604166666666674,0.29921259842519693,0.030303030303030304,0.3111888111888112,0.08928571428571429,0.20325203252032523,Chennai,20250719T104008Z
2025-07-19T05:00,0.703125,0.7874015748031497,0.04428904428904429,0.5559440559440559,0.008928571428571428,0.3089430894308944,Chennai,20250719T104008Z
2025-07-19T06:00,0.6197916666666666,0.7086614173228347,0.17482517482517482,0.5069930069930069,0.026785714285714284,0.3495934959349594,Chennai,20250719T104008Z
2025-07-19T07:00,0.5520833333333335,0.6456692913385826,0.358974358974359,0.43356643356643354,0.0625,0.40650406504065045,Chennai,20250719T104008Z
2025-07-19T08:00,0.421875,0.4881889763779527,0.4522144522144522,0.3566433566433566,0.125,0.48780487804878053,Chennai,20250719T104008Z
2025-07-19T09:00,0.24479166666666663,0.29133858267716534,0.358974358974359,0.2692307692307692,0.23214285714285715,0.6097560975609757,Chennai,20250719T104008Z
2025-07-19T10:00,0.14583333333333337,0.18897637795275593,0.17715617715617715,0.17132867132867133,0.35714285714285715,0.7479674796747969,Chennai,20250719T104008Z
2025-07-19T11:00,0.21874999999999997,0.28346456692913385,0.04428904428904429,0.09440559440559437,0.5,0.853658536585366,Chennai,20250719T104008Z
2025-07-19T12:00,0.30208333333333337,0.4094488188976378,0.009324009324009324,0.04195804195804193,0.6517857142857143,0.8943089430894311,Chennai,20250719T104008Z
2025-07-19T13:00,0.421875,0.5748031496062993,0.02564102564102564,0.010489510489510483,0.8125,0.9024390243902439,Chennai,20250719T104008Z
2025-07-19T14:00,0.5208333333333334,0.7244094488188976,0.0979020979020979,0.0,0.9285714285714286,0.886178861788618,Chennai,20250719T104008Z
2025-07-19T15:00,0.5781250000000001,0.8110236220472442,0.2680652680652681,0.010489510489510483,0.9821428571428571,0.853658536585366,Chennai,20250719T104008Z
2025-07-19T16:00,0.5989583333333334,0.8503937007874017,0.49417249417249415,0.04545454545454545,1.0,0.7967479674796749,Chennai,20250719T104008Z
2025-07-19T17:00,0.5781250000000001,0.8110236220472442,0.655011655011655,0.10139860139860138,0.9553571428571429,0.6991869918699187,Chennai,20250719T104008Z
2025-07-19T18:00,0.53125,0.7322834645669293,0.6993006993006993,0.19580419580419578,0.8303571428571429,0.5284552845528456,Chennai,20250719T104008Z
2025-07-19T19:00,0.7083333333333335,0.84251968503937,0.6806526806526807,0.3111888111888112,0.6428571428571429,0.3170731707317074,Chennai,20250719T104008Z
2025-07-19T20:00,0.6354166666666666,0.7244094488188976,0.6293706293706294,0.39510489510489505,0.48214285714285715,0.18699186991869926,Chennai,20250719T104008Z
2025-07-19T21:00,0.515625,0.6220472440944883,0.5477855477855478,0.42657342657342656,0.375,0.2276422764227643,Chennai,20250719T104008Z
2025-07-19T22:00,0.24479166666666663,0.3385826771653544,0.4358974358974359,0.42657342657342656,0.2857142857142857,0.3495934959349594,Chennai,20250719T104008Z
2025-07-19T23:00,0.1875,0.24409448818897636,0.331002331002331,0.41258741258741255,0.22321428571428573,0.4146341463414634,Chennai,20250719T104008Z
2025-07-20T00:00,0.18229166666666669,0.22834645669291342,0.24242424242424243,0.3846153846153846,0.17857142857142858,0.3658536585365854,Chennai,20250719T104008Z
2025-07-20T01:00,0.22395833333333337,0.2677165354330709,0.16083916083916083,0.3391608391608391,0.16071428571428573,0.26829268292682934,Chennai,20250719T104008Z
2025-07-20T02:00,0.296875,0.3307086614173228,0.09557109557109557,0.3006993006993007,0.14285714285714285,0.1788617886178862,Chennai,20250719T104008Z
2025-07-20T03:00,0.3072916666666667,0.3228346456692913,0.039627039627039624,0.26223776223776224,0.125,0.10569105691056917,Chennai,20250719T104008Z
2025-07-20T04:00,0.30208333333333337,0.28346456692913385,0.0,0.22727272727272727,0.11607142857142858,0.032520325203252064,Chennai,20250719T104008Z
2025-07-20T05:00,0.3072916666666667,0.22834645669291342,0.016317016317016316,0.21678321678321674,0.10714285714285714,0.0,Chennai,20250719T104008Z
2025-07-20T06:00,0.35416666666666674,0.2204724409448819,0.13752913752913754,0.2552447552447552,0.09821428571428571,0.024390243902439084,Chennai,20250719T104008Z
2025-07-20T07:00,0.3958333333333333,0.28346456692913385,0.317016317016317,0.3216783216783216,0.08035714285714286,0.0813008130081301,Chennai,20250719T104008Z
2025-07-20T08:00,0.375,0.29133858267716534,0.44522144522144524,0.37412587412587406,0.08035714285714286,0.1544715447154472,Chennai,20250719T104008Z
2025-07-20T09:00,0.32291666666666663,0.25984251968503946,0.47785547785547783,0.3986013986013986,0.08928571428571429,0.25203252032520324,Chennai,20250719T104008Z
2025-07-20T10:00,0.265625,0.2204724409448819,0.4592074592074592,0.40559440559440557,0.10714285714285714,0.3577235772357724,Chennai,20250719T104008Z
2025-07-20T11:00,0.24479166666666663,0.21259842519685043,0.4289044289044289,0.3986013986013986,0.14285714285714285,0.4552845528455285,Chennai,20250719T104008Z
